"POP_COMP","Population Component","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"10","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",2621509,,
"1","Births","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",5589,,
"1","Births","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",5395,,
"1","Births","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",5609,,
"2","Deaths","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",4559,,
"2","Deaths","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",4692,,
"2","Deaths","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",4450,,
"3","Natural Increase","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",1030,,
"3","Natural Increase","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",703,,
"3","Natural Increase","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",1159,,
"4","Internal Arrivals","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",13009,,
"4","Internal Arrivals","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",14204,,
"4","Internal Arrivals","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",14533,,
"5","Internal Departures","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",11487,,
"5","Internal Departures","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",11822,,
"5","Internal Departures","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",12525,,
"6","Net Internal Migration","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",1522,,
"6","Net Internal Migration","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",2382,,
"6","Net Internal Migration","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",2008,,
"7","Overseas Arrivals","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",4703,,
"7","Overseas Arrivals","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",5107,,
"7","Overseas Arrivals","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",5735,,
"8","Overseas Departures","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",2359,,
